asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00036,21,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,5abe7bbf7771b6a3705417f630091d99071ecd1fad586f4c236d4b1e3214d553,DefineShape2,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=36; payloadBytes=93; exactTagIdentitySha256=aec1a2add9817d82fe9b6924e72f86743372c74312169fea1984461baf9fe3d2; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00037,22,,bitmap,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,496c028e953d29e4e397785a6fb1e6ef0a00d671fbf14a87d40e05d084cf7b1d,DefineBitsJPEG3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=37; payloadBytes=92552; exactTagIdentitySha256=0741e79a5ecd32b6ac8f6079341dc3525cde60665266aebbfb23ffa70197f599; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00038,23,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,e06d03e1ae1550d36a010262fd4d32be99eea8c4502155de97d5619b194c750e,DefineShape2,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=38; payloadBytes=103; exactTagIdentitySha256=e7b6de835525922479a891dfd458d1dd563f96e4cfa5f0fbe9d93aa42c66a6b3; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00039,24,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,f47fbc6fa5cd01ae405a3547792caa7038b55549977b891d14e8afe6090d9dc6,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=39; payloadBytes=55; exactTagIdentitySha256=507f4243bad7db2268cb4fcaeefc19985f1bfb670c5fd99fedff7b721279d67f; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00040,25,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,b7a77fd77a9b53c35b8cb67d95c0deed870fad2fce1d46f15e9c6a538b4fe00a,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=40; payloadBytes=42; exactTagIdentitySha256=5ce685edfc182a7dfeeeb9bbe5a4b7566779df99923daca63533d0ccc5bb3b6c; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00041,26,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,79a191e3a9be7d163c0772fc6369c0b1dc94eb52260e329a9d7532f5f9650d89,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=41; payloadBytes=2450; exactTagIdentitySha256=852f276178697bb57463fe70630848bf73a40b54a869de5f7a11d0c73b9e1629; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00042,27,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,69112b97346b1bb372147b3f51fa4844dae43518b2df82e06dcf2c93e5f49ec8,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=42; payloadBytes=2497; exactTagIdentitySha256=29cf7fcdee94512004b9dcbcce53d24ea0a6b997ab26bc55f39dbf17a870690d; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00043,28,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,98036a05d23011e285c4731854e3004c4e00b6e2dc41f757a9cf21a57595051a,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=43; payloadBytes=2462; exactTagIdentitySha256=64e6a0872d876e16b9f835dff76b6f74d80dbf85748459309eac04bef9d08fb6; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00044,29,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,90a5dcf17429a04ea7425a8326881baa9c611aca20634ebbfabeca591d04da12,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=44; payloadBytes=2457; exactTagIdentitySha256=da586be4cda4000c3be65fcb7671c6a4d27d334b5ce520439f206103bfd69dd0; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00045,30,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/IN/L3IN09.swf,,,6768b66448abaaba26861976f49189224118b3e00394aaf07c84f097a8ac6a8e,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=45; payloadBytes=2460; exactTagIdentitySha256=39ee7ad97687318e9434b791c557f506e8f9bb1a480a43caa7da41df01af58a4; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
