asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00063,52,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,8aaddf5bef498c7f6f862252cb2cf109cc3ca7346dfeb6c3b17a4ddd7a39077b,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=63; payloadBytes=54; rawTagPayloadSha256=8aaddf5bef498c7f6f862252cb2cf109cc3ca7346dfeb6c3b17a4ddd7a39077b; exactTagIdentitySha256=cd1aafa0c81916c088586616daaf5bab8865c8f1617fd859e7cedf640cca788d; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00064,53,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,ab3a37e6040a359ea6c48b4e74d438bb459f28867c85da39e7e42daf118548f5,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=64; payloadBytes=27; rawTagPayloadSha256=ab3a37e6040a359ea6c48b4e74d438bb459f28867c85da39e7e42daf118548f5; exactTagIdentitySha256=e108f9786e052b542c898ccc09b085ad86732ca2ab9ed70b1482ec8ed8f99357; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00065,54,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,be68c771299eabd9a2f762bce9ee25c6bae7b1a0899658c9898c402211af637b,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=65; payloadBytes=54; rawTagPayloadSha256=be68c771299eabd9a2f762bce9ee25c6bae7b1a0899658c9898c402211af637b; exactTagIdentitySha256=b0423f0de266d855bfa553689b17c8f74c3e309ccef37931fc923b21f1c06655; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00066,55,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,6271a03a1479ef6494076b7bd32140002ae7bc1fcf3c316d7f548786d4333f6c,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=66; payloadBytes=27; rawTagPayloadSha256=6271a03a1479ef6494076b7bd32140002ae7bc1fcf3c316d7f548786d4333f6c; exactTagIdentitySha256=3922dfe05f6b6125a50aaaab695527e13f608c79acb9d4bfc7bbb3b68e82f37e; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00067,56,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,4b3417c9a84430ad0eb75667b4af5ccf37e331177ed8bb9beb641171a05df8a4,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=67; payloadBytes=53; rawTagPayloadSha256=4b3417c9a84430ad0eb75667b4af5ccf37e331177ed8bb9beb641171a05df8a4; exactTagIdentitySha256=12dc8eec234d2892e657a20ebf30e68b6bdcadc22100617c9dd23bd3351e44e7; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00068,57,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,1ba581fda309da0aea76358c19f23a75926b80bdb392c68899fd930878ddbcfa,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=68; payloadBytes=26; rawTagPayloadSha256=1ba581fda309da0aea76358c19f23a75926b80bdb392c68899fd930878ddbcfa; exactTagIdentitySha256=7a5311ba37b7893be4035bcd5b71bb60eaba7fe0013ac84747caaa02a332271b; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00069,58,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,6b9999b1a6ccb80bbff5d3a17ce837c7ec7ca77f61a538889c47b5f4891570b9,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=69; payloadBytes=125; rawTagPayloadSha256=6b9999b1a6ccb80bbff5d3a17ce837c7ec7ca77f61a538889c47b5f4891570b9; exactTagIdentitySha256=1951664757ee5183fef1923aee960bc2f59fb751b09278db6f18b8d3989d8735; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00070,59,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,cd061c0629b643fcb18bf5314a0be740c0f54cd8b3477e7140050baa477e54b0,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=70; payloadBytes=25; rawTagPayloadSha256=cd061c0629b643fcb18bf5314a0be740c0f54cd8b3477e7140050baa477e54b0; exactTagIdentitySha256=d92f51970b27b7e0156d9ddb3ab28c970b98fc6d9646a7c235641c474663114d; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00071,60,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,fa0394f095c5287e7e46496ab287f5cfa4b79721512b7282fd611126d22816e8,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=71; payloadBytes=25; rawTagPayloadSha256=fa0394f095c5287e7e46496ab287f5cfa4b79721512b7282fd611126d22816e8; exactTagIdentitySha256=ff58218ca51a0cb8818117d3b10b5d55067b751a83c5127a7fd42896ad13bb06; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00072,61,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,701bf8e1a05b78794fb72c4a8461ef737ab894f2ea8408a0926ca8f727d85242,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=72; payloadBytes=41; rawTagPayloadSha256=701bf8e1a05b78794fb72c4a8461ef737ab894f2ea8408a0926ca8f727d85242; exactTagIdentitySha256=f2562096f71176912e8c0cb7610861fb7a2b1b2ea108db92205925b7c13337ab; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00073,62,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,8f2548b26e3c70470a83b8786a8330dd3d8f7a14443b32572be105987e5d8dfb,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=73; payloadBytes=36; rawTagPayloadSha256=8f2548b26e3c70470a83b8786a8330dd3d8f7a14443b32572be105987e5d8dfb; exactTagIdentitySha256=20f639dca4299aed16af763ed6986513398aeba128075b8b0e59b18367ce830b; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00074,63,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,69100effa92b23f8d433dd37b69e547e666a9b4992462849cdecdf6cfc8cbce8,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=74; payloadBytes=26; rawTagPayloadSha256=69100effa92b23f8d433dd37b69e547e666a9b4992462849cdecdf6cfc8cbce8; exactTagIdentitySha256=86ccd3d63a7578b895df7ba247bcbe1390fed721de91fcb4efd1f0fbbc1a8429; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00075,64,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,342f35cb7624e8968ed77c46e46d03d6fd49e1694e2a6ac078038074f3881cd7,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=75; payloadBytes=35; rawTagPayloadSha256=342f35cb7624e8968ed77c46e46d03d6fd49e1694e2a6ac078038074f3881cd7; exactTagIdentitySha256=231e468274049897d2a079db46024fd1e037f22fa848726e48e00f28a47c5b3e; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00076,65,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,93c01466bce2cdb0979510b9a2234dc0ec3165f5e94bf973f8076d05863ac7ca,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=76; payloadBytes=36; rawTagPayloadSha256=93c01466bce2cdb0979510b9a2234dc0ec3165f5e94bf973f8076d05863ac7ca; exactTagIdentitySha256=9a7a9be8204be6551afde5cee4f9ecdf294b165749e959c039b491e93894e767; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00077,66,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN03.swf,,,67e170f2ebecf31e80fc663ff158b01241606f71f0d1e541f3ac57e26aa485fb,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=77; payloadBytes=36; rawTagPayloadSha256=67e170f2ebecf31e80fc663ff158b01241606f71f0d1e541f3ac57e26aa485fb; exactTagIdentitySha256=b6877d1f5d35915b2a6ebc391ebc3dedf92ed271e45fe78f01e74f083094598f; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
