asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00046,35,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,fb3596fa3f3383c1d9916c4c1a4aee22c7fd06b7762afcf0ab39a3d3833c9f82,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=46; payloadBytes=25; rawTagPayloadSha256=fb3596fa3f3383c1d9916c4c1a4aee22c7fd06b7762afcf0ab39a3d3833c9f82; exactTagIdentitySha256=d9dcf11534894d68c83df0a08fa2857d0fea8fac1e26c703bacc95646224dff6; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00047,36,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,03812f6e759136c73f7dbde32c9601de845706893209a7f75017737ee37ab465,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=47; payloadBytes=25; rawTagPayloadSha256=03812f6e759136c73f7dbde32c9601de845706893209a7f75017737ee37ab465; exactTagIdentitySha256=aadc4ab2030ce846aa4f92f27a52074e9476bc28e4a90ed0c318f9d83e471b96; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00048,37,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,90bda65c799c80403a2d1d13e3b6f3114144da5521f6a9a8e9688a1b224c9c31,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=48; payloadBytes=25; rawTagPayloadSha256=90bda65c799c80403a2d1d13e3b6f3114144da5521f6a9a8e9688a1b224c9c31; exactTagIdentitySha256=975a171b7aed43a58faff204007913973f2d211c2bb245587cd3b063615e56ed; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00049,38,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,f8bd68ce356ac7fdd1489f14a35abab0f2576a530e104f8259b34e1fd2851c5b,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=49; payloadBytes=25; rawTagPayloadSha256=f8bd68ce356ac7fdd1489f14a35abab0f2576a530e104f8259b34e1fd2851c5b; exactTagIdentitySha256=8f71b2536ebb553466d6ea12274b36fb5b5d190c2f1f16837410614777a7a32f; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00050,39,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,8879a0efdb6b51c8106d59f7033e1794351187271daa5ec63d9f3711f92911a1,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=50; payloadBytes=25; rawTagPayloadSha256=8879a0efdb6b51c8106d59f7033e1794351187271daa5ec63d9f3711f92911a1; exactTagIdentitySha256=71300ceade1f1b53f0678e673c2659b349aa1cf575bbd73b3755d997f8189318; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00051,40,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,d396cdad81dee0da2bb874fab6512fbcd7426694b023f1a9ed94845c960e5054,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=51; payloadBytes=25; rawTagPayloadSha256=d396cdad81dee0da2bb874fab6512fbcd7426694b023f1a9ed94845c960e5054; exactTagIdentitySha256=a0839ffdfb29495cbe98d0947524df706f39c0b31a351c67804e6745df6ec829; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00052,41,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,f106615aa988968e6b64ca5d7b3c29e2c4d44e3d5eb7b148e98ddc7271bc54e9,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=52; payloadBytes=25; rawTagPayloadSha256=f106615aa988968e6b64ca5d7b3c29e2c4d44e3d5eb7b148e98ddc7271bc54e9; exactTagIdentitySha256=144908d6cd82f61b36086995a37d1ee894d50f40a5af9706caed18f79a3b4044; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00053,42,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,98f3f529a4bbcf51a704c4d80e50b935b98291aa52551f4ef2d096065c808b37,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=53; payloadBytes=26; rawTagPayloadSha256=98f3f529a4bbcf51a704c4d80e50b935b98291aa52551f4ef2d096065c808b37; exactTagIdentitySha256=79cdaf37469eefe80c3fab55dfacd2ae8868cca7d0a48930fa972ee01058d93f; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00054,43,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,0d7f84708d334ea67d523c6ee014f66ce58afc58e621c79c3baaf66c96a73d20,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=54; payloadBytes=25; rawTagPayloadSha256=0d7f84708d334ea67d523c6ee014f66ce58afc58e621c79c3baaf66c96a73d20; exactTagIdentitySha256=de09a0ba3c8a5f9073b5de4dc8af959a9b5d8932ed337ecc1d680b8bef50b600; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00055,44,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/TS/L5TS04.swf,,,62cda91f83ec20d6a61db67b34bb0ebb592dade74acb9b60656a772936e19bbc,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=55; payloadBytes=25; rawTagPayloadSha256=62cda91f83ec20d6a61db67b34bb0ebb592dade74acb9b60656a772936e19bbc; exactTagIdentitySha256=da21485fede15f97c3cb879f69779cb60e5cd4a0964cf0a31c557f849493adce; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
