asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00178,135,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,8dacf7e636f3be80c436e313ab5584410bb72d4f0093bae4ba45e834ce6e4388,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=178; payloadBytes=1524; rawTagPayloadSha256=8dacf7e636f3be80c436e313ab5584410bb72d4f0093bae4ba45e834ce6e4388; exactTagIdentitySha256=aba20bd35dbbba7ef4620ec17c5ac2e79db67ed472d7b5cfabab43113ba5ed29; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00179,136,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,452bc6a63cdb299395c623c8fc0b2b83d8958b293199c2a92cdb35aefc57a4bc,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=179; payloadBytes=384; rawTagPayloadSha256=452bc6a63cdb299395c623c8fc0b2b83d8958b293199c2a92cdb35aefc57a4bc; exactTagIdentitySha256=d4a4ac6e37fa2eee647af59786b81761131b95ecaa4e7a9be5219684d989ee61; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00180,137,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,4cb468a72fc963c7164ff7f229dfc2c43d75733c008a83e567db5a7289b15310,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=180; payloadBytes=2385; rawTagPayloadSha256=4cb468a72fc963c7164ff7f229dfc2c43d75733c008a83e567db5a7289b15310; exactTagIdentitySha256=7c488020dfd15f524ae4a4f8f81d69873bc3a41089bd5761788c7551eeafc89c; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00181,138,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,b586cac4d864920e554d13e75808ec94f93f3e0c1a208be0a7775e5320990a41,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=181; payloadBytes=1257; rawTagPayloadSha256=b586cac4d864920e554d13e75808ec94f93f3e0c1a208be0a7775e5320990a41; exactTagIdentitySha256=883feb1e0276a8c26a98a6793950aff7abe0322aa686172cadd276731c3fc32b; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00182,139,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,de2057f09cdd6de8ebc64c9d86141eeee9e08c84c0fba40e3cde93bdeeb37673,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=182; payloadBytes=985; rawTagPayloadSha256=de2057f09cdd6de8ebc64c9d86141eeee9e08c84c0fba40e3cde93bdeeb37673; exactTagIdentitySha256=c002119b973b04046d1aa75d13aaabd4db63b2a2a5f09e70bda59d332650664f; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00183,140,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,a2ba2c7b7054baa9d1c3375e06ef5c0019837d2c4d2e06440de4535ba9d7c3f9,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=183; payloadBytes=1191; rawTagPayloadSha256=a2ba2c7b7054baa9d1c3375e06ef5c0019837d2c4d2e06440de4535ba9d7c3f9; exactTagIdentitySha256=6d95f581ccb6e1a212a29adeaedce11e42af9c7ae9005e442477cdf7fc3ad64f; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00184,141,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,b0c2386d01b5cc17c22e7a3bdb0e79333eb6cc0dc37ffbf36c02310ca0b7d48d,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=184; payloadBytes=1004; rawTagPayloadSha256=b0c2386d01b5cc17c22e7a3bdb0e79333eb6cc0dc37ffbf36c02310ca0b7d48d; exactTagIdentitySha256=2dcba9d1e1990fc7a881b627b5db20f79ea74665375d8b1ae9fb19dcad99ba17; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00185,142,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,a0e6c0d9a2c9473cc779537533f2f2fe7f9456ebb3c32a1a7cad7f7c19a1fcdb,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=185; payloadBytes=60; rawTagPayloadSha256=a0e6c0d9a2c9473cc779537533f2f2fe7f9456ebb3c32a1a7cad7f7c19a1fcdb; exactTagIdentitySha256=a8f925d2201d3e1bf40541fa5085b42446831c2888dd3db9e7283d573829d2d3; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00186,143,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,d7f936d682cbd1e89eb1639511f7b6e84c7f68f8c30d70e882b50d1787303925,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=186; payloadBytes=178; rawTagPayloadSha256=d7f936d682cbd1e89eb1639511f7b6e84c7f68f8c30d70e882b50d1787303925; exactTagIdentitySha256=1e338ad9929cb660fc90ebbf1fcf4dc5faee8a49797e4b994a1b40f441059b80; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00187,144,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,7a3c18923b9fc96539b777dd5e1f774243c1102019d03e4d824fb1de018e8250,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=187; payloadBytes=2033; rawTagPayloadSha256=7a3c18923b9fc96539b777dd5e1f774243c1102019d03e4d824fb1de018e8250; exactTagIdentitySha256=dfddeda7c9565ec750bd727331209319e151c591df350c35c3681dbd3bcaecf3; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00188,145,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/RW/L4RW02.swf,,,80d2a1b9cc4979c7068d5ea7b7d376d45f6b6c65dc5f3ac2799b2e7fd8feb8e5,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=188; payloadBytes=2381; rawTagPayloadSha256=80d2a1b9cc4979c7068d5ea7b7d376d45f6b6c65dc5f3ac2799b2e7fd8feb8e5; exactTagIdentitySha256=e4ac7d9603c608c7afc9714bb2578e971da75b68d38346bcc90fae8e2bc62003; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
