asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00060,49,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,d091dbafc1b616743c6fb13c6f237db83cb20ed1ea4de8bc6311af35c01a5c65,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=60; payloadBytes=80; rawTagPayloadSha256=d091dbafc1b616743c6fb13c6f237db83cb20ed1ea4de8bc6311af35c01a5c65; exactTagIdentitySha256=27074a8f7e480c6f3a41a45835b3d91190da3c89090726c73bc25cf9224478af; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00061,50,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,f3efc7587984c2e81531a4a6df8e064026ac0be45ba9b20f7b31cfb66c033e73,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=61; payloadBytes=86; rawTagPayloadSha256=f3efc7587984c2e81531a4a6df8e064026ac0be45ba9b20f7b31cfb66c033e73; exactTagIdentitySha256=e5efeab9c333fbc2be4c90a8d7ae2777a43f7c6bb957a807eaf8cffc5119ab41; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00062,51,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,ee614305de8ff0a8b5b52fe38e4020922dd39eca10abb1b204897a8be999c658,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=62; payloadBytes=55; rawTagPayloadSha256=ee614305de8ff0a8b5b52fe38e4020922dd39eca10abb1b204897a8be999c658; exactTagIdentitySha256=ce6064b85211e4c40a27433598af2fcab41a0bb8a28415a78b9e79bac95c51f2; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00063,52,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,1f411d4b9e013c4b4a5326f100e639295403515d55f5d20ff9ab9e929c192e09,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=63; payloadBytes=56; rawTagPayloadSha256=1f411d4b9e013c4b4a5326f100e639295403515d55f5d20ff9ab9e929c192e09; exactTagIdentitySha256=f46240e711b9039b69355b39b12d95f8519862cf55cff63cdb679790d39128c0; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00064,53,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,307fcaa3e479e756f4dbb92280d814965db361a2230b56828980095ee0692659,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=64; payloadBytes=58; rawTagPayloadSha256=307fcaa3e479e756f4dbb92280d814965db361a2230b56828980095ee0692659; exactTagIdentitySha256=4a25f40ab753b882eecc1121f17bc9cfd939290e869e146acb61af47b1dd3c06; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00065,54,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,46aa5ac05f93c6f79b799a14b3602821506f93fd8d1c23bf57c3dd2afadd418f,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=65; payloadBytes=60; rawTagPayloadSha256=46aa5ac05f93c6f79b799a14b3602821506f93fd8d1c23bf57c3dd2afadd418f; exactTagIdentitySha256=3afaa7b21ba5f31d7f1c75b80d35be60ef2b89c8cfb92f5812c3d77d576c0ec3; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00066,55,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,bc92bd8ef68d0664318683f4dc2963761df2de439c4aaeb817f790ad2fec48fe,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=66; payloadBytes=61; rawTagPayloadSha256=bc92bd8ef68d0664318683f4dc2963761df2de439c4aaeb817f790ad2fec48fe; exactTagIdentitySha256=eb76038afc2a7062adfe99c1fb341881f985504be4465ad75f1f1a69ac952b41; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00067,56,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,3bc0dce7765de3b484417b3de44be0d42c682d45325c375b444422dc70852f1a,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=67; payloadBytes=61; rawTagPayloadSha256=3bc0dce7765de3b484417b3de44be0d42c682d45325c375b444422dc70852f1a; exactTagIdentitySha256=64fe2cbb681511dac94e7b6c6fc41cd40c76287dd2021ad18f15ddcbc478003a; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00068,57,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,cff6ab64c5c9182ef4610eea699fb88108b1a765623f4afb637cca80f9b9e064,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=68; payloadBytes=61; rawTagPayloadSha256=cff6ab64c5c9182ef4610eea699fb88108b1a765623f4afb637cca80f9b9e064; exactTagIdentitySha256=238dc9a09846ea943ad36e8f9fa79107bed36e141470e91ce4309baebfcdca06; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00069,58,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/IN/L4IN15.swf,,,442e622ad2e602f701002bbfdf0eb98abd30fc30bdfb584448e3807110299778,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=69; payloadBytes=62; rawTagPayloadSha256=442e622ad2e602f701002bbfdf0eb98abd30fc30bdfb584448e3807110299778; exactTagIdentitySha256=83f49be793708a9757a8eaafb8d86c1b03e8e6e1c0643e517be5a151afd5ab5b; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
