asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-05475,373,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,018f6dd76f902ee6735417080f94f024317ea01fe4bbc4f6e8027b10064387e4,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=5475; payloadBytes=498; rawTagPayloadSha256=018f6dd76f902ee6735417080f94f024317ea01fe4bbc4f6e8027b10064387e4; exactTagIdentitySha256=367149c80cf1bd82b03a43121ef742653fe80d49a55b8926afd74c6fc157fb65; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-05476,374,,sprite,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,a693764d6f33d087bab453dd6afb270550db16a306f97fa0ff1f2e29f4269095,DefineSprite,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=5476; payloadBytes=231; rawTagPayloadSha256=a693764d6f33d087bab453dd6afb270550db16a306f97fa0ff1f2e29f4269095; exactTagIdentitySha256=f94d310114492718a2f64a8c795090b38a4118e6ca3403f7a612a57a244f84a7; declaredFrameCount=38; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-05538,375,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,564c6c578d93781cfaf27a853095f67ba0f0087c4669c7d3db9e515fd41fd37a,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=5538; payloadBytes=88; rawTagPayloadSha256=564c6c578d93781cfaf27a853095f67ba0f0087c4669c7d3db9e515fd41fd37a; exactTagIdentitySha256=39b836c1abc92452a41424854d4f04c910d08ab73b495827cd4f188744f8fd0d; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-05539,376,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,857c94db89af907b54394cfbfa69b426c1640a4b6357fb17e303a9747acd76b0,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=5539; payloadBytes=68; rawTagPayloadSha256=857c94db89af907b54394cfbfa69b426c1640a4b6357fb17e303a9747acd76b0; exactTagIdentitySha256=4afa6a6c63fb1da1b0948e1b731b6dc4fdc3cb4fe4857de5359d7f3164b49ddd; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-05540,377,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,d8fbaa8b977ceebbb444482ecc08672aa97f8d636a3743d5c86e6e1dc27a3fbe,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=5540; payloadBytes=88; rawTagPayloadSha256=d8fbaa8b977ceebbb444482ecc08672aa97f8d636a3743d5c86e6e1dc27a3fbe; exactTagIdentitySha256=1247fba7f71760b347bade84ff13eacbaefb0b2fb2fe2da071b3ed38c1d01ba5; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-05541,378,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,4de0037df8281748a764c3887d87207bdad78e20ee6350b478c1104966b15bb5,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=5541; payloadBytes=68; rawTagPayloadSha256=4de0037df8281748a764c3887d87207bdad78e20ee6350b478c1104966b15bb5; exactTagIdentitySha256=e082c5bbc54de95da38033b90962ca97117e9812db176b710b8b0df40aa5c395; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-05542,379,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,7ee32c611e426991f7e9748870b6f00023b7152dbd0cb54bcb35455b78c7e28c,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=5542; payloadBytes=88; rawTagPayloadSha256=7ee32c611e426991f7e9748870b6f00023b7152dbd0cb54bcb35455b78c7e28c; exactTagIdentitySha256=3b3e1118829cce4e0be18b464834185f143791998d9a4d0832d427b5db5aa939; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-05543,380,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,a46be9e8f089374799644021a34c1244ebe818d9c7181a3b87ba913281c57479,DefineShape3,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=5543; payloadBytes=5120; rawTagPayloadSha256=a46be9e8f089374799644021a34c1244ebe818d9c7181a3b87ba913281c57479; exactTagIdentitySha256=938d777ff0bc739c810eec258c13ff8969a3a26eb7f925554cfa60d5675a143a; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-05544,381,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,6ac6b97c5831d6a4a4855082e57374e0e00f5877ab9988458c26a2a2df2a32d7,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=5544; payloadBytes=88; rawTagPayloadSha256=6ac6b97c5831d6a4a4855082e57374e0e00f5877ab9988458c26a2a2df2a32d7; exactTagIdentitySha256=fdcbdf246571796d579eef41edd2677e83141f28c7715c261aa6abd9849094d5; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-05545,382,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/RW/L5RW04.swf,,,d01237759024d629ea2b8fe47004a141a479c7492f9daaafd9f775f7c111de09,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=5545; payloadBytes=141; rawTagPayloadSha256=d01237759024d629ea2b8fe47004a141a479c7492f9daaafd9f775f7c111de09; exactTagIdentitySha256=98e9ffea196298f4a33592e1f62107db61ca8bdcb74c6a8a30b4f78d19e02a98; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
