asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00031,21,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,4e2145a1caec4bd04e3f53f0a4bb7223f1b53ad9dc3d3c1d56b25402f49daf8d,DefineShape,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=31; payloadBytes=52; exactTagIdentitySha256=ab8174efc4a04a7076989adf97491dfdaca29a5d9afbb14e18581eb035eb34c7; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00032,22,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,60d6b0ee387169b200ea26ea17d18fe4ea856d2a01f09cbc14ec58162a9eb23d,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=32; payloadBytes=1045; exactTagIdentitySha256=6ccba8b2ebcb541b89d1c1544173379d2109e31c4f63cca58381e013e70927da; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00033,23,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,bc6e62ff9abfa56d958e8d0c99ccdf46c254a5ae16c84be612036f1510b760e8,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=33; payloadBytes=519; exactTagIdentitySha256=a7df1f4a9a2ae315ea5c8d2f56bacbef3a20adf684cc1df4607c1e1d579fc325; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00034,24,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,2feb5bdb2c9476bdbc619d9da1800e37ff51bdcb2463cfded945019740ec2c20,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=34; payloadBytes=914; exactTagIdentitySha256=8c1aa88956b71a020f04012de489e16b973737f1c6f6a7d9d58dbe70ce8d70ca; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00035,25,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,48783e957885c1c457e3feff16479755cc998a233134886be6c6df58b596932c,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=35; payloadBytes=1933; exactTagIdentitySha256=f57b061b2ab990cfbbc751bef73b0d33505269976c71a192b950348baa108a2a; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00036,26,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,d9c95e0ba04c2b2c327403ea8f22a47306be42963294f26a9696c775192bd4a9,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=36; payloadBytes=2420; exactTagIdentitySha256=598c7eb95c7e93d3c7ac042b521d2ee38f4484f806cc28472ee24f3e14943b64; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00037,27,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,8d9632696911575254da55e55609f0c3550415c4d55c9d1cfca45717c08432e0,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=37; payloadBytes=2414; exactTagIdentitySha256=69af5fce93db0ac0a815c037eeda11654f683f90dccf5063d0c2e414a326e8db; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00038,28,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,0f25d5c6060efb418d27fb5fdcc30586a75590eb000e590f663ff841fa5d7799,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=38; payloadBytes=515; exactTagIdentitySha256=b5bceeb967c31c5e99d32042b02df3a2d48dacd647cffd7b9f3a96fb2197c253; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00039,29,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,d424920562629e0b29eacaf006ec0febbd249856636a9b371343f148dfdaaa72,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=39; payloadBytes=906; exactTagIdentitySha256=ffb5d6d354ea26bd0ed90cc18cf7c4737c7ff44d41f635e426a4fd8ef2c2b976; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00040,30,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,29046f94055cf47dc61d9a704e0a43037d39bacebaffc7a720315e0995a25811,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=40; payloadBytes=515; exactTagIdentitySha256=050b42f7789a0199bfcb06fb648241d4e4b93e0ce7b102ca13e704b2af7d2537; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00041,31,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,2e2b593a3f5962acb29e86907f79ba23e43d096d68c1555577f447a55fef59ac,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=41; payloadBytes=913; exactTagIdentitySha256=fdb12f8c341797833695a2cb1ff61ab0793b5689738145c49da3e64a34e0b27a; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00042,32,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,b8f1d4b29343bec1e2a776f760dff00a8ae5df23c0177d1ee4270cfdc1d3d86c,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=42; payloadBytes=515; exactTagIdentitySha256=405d103d3b6fe755bfe02a084300b49bd14e44a0341a87db5ec980643f1a9704; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
swf-definition-00043,33,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR4/L3/RW/L3RW02.swf,,,0df84abad1f1dc4637962eb7ecd28528830d45ddbd9322ac91fddd0ae87ea66d,DefineShape3,,,none; original SWF tag payload inventoried without export,machine-extracted-definition,owner-provided SWF,"container=root; definitionDepth=0; tagOrdinal=43; payloadBytes=910; exactTagIdentitySha256=a43721266cd4fe2528be98d88745bd69464d74286f3ddfc302bf780a6f5e1706; authoring name, visual bounds, placement, and runtime reachability remain unresolved."
