object_id,tag_type,element_bytes,element_sha256,source_artifact,source_artifact_sha256,source_uncompressed_sha256,projection,runtime_reachability,renderer_adoption,acceptance_effect
40,DefineFont2,1355,4ac196d2bdc94d7dab18056f74fdde2c083ad3aa67f7f150aa787684a30779c5,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
41,DefineText,847,d779ae274ae51af5a97e2974c1f6ec641ada13166d9fb25ec2d7865fae7113d4,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
42,DefineShape3,833,aa62cb08adbbdc4bebce23d7836beffd41b9fca33f8d64ee3d8ad8d6bbfc6df1,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
43,DefineText,2129,fd68f213a697bde6ec85b0a1bf411e89b99a376631044b88fff4f86f72c4bb81,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
44,DefineShape3,34823,25313a3328ef61f3d2b85368b7a72e8ba7b7227103ec0989651db9b3ffca6773,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
45,DefineText,847,689efec70b913eaab93704492ab58c624b993e40e367c0e31f50bd45ce135251,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
46,DefineText,846,f62cfdab994827ba9a001cd9874aa517fe84b7b0a47ac026fd5825ea52911c15,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
47,DefineText,846,22c6583e7712bbf40791e80b22555c4529721643150b1fcd0af47bea783bf5be,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
48,DefineText,846,8fd118f25c0edaa572aefd54a2cfb99228f95f45392876c2f782f1444958c75f,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
49,DefineText,846,3a3cdeaf5b69389c5e47f4d6de287887fcb8d9261ef9c2e5716c20cde984fcd0,migrations/course-g04-l10-vb-003/audit/machine/swfmill.xml.gz,948ad43c618fedf99c23e4bc082ec0fb1d4faf5fef1274867477729854846fa3,987c44b6fcd9c4f02cea593f3dd8d77e542ef66a41cc1b32f7ae66162162609c,exact-decompressed-swfmill-xml-element-v1,unresolved,none,none
